Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,Travel Agency,Online,Others,23,Others,15.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,Others,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,Others,29.7,17.82,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,Others,86.0,0.0,36,0
Others,Airlines,Online,Others,36,Others,40.0,14.0,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,34,Others,30.0,0.0,36,0
EPX,Travel Agency,Online,Others,16,Others,11.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Others,29.7,17.82,25,0
Others,Airlines,Online,Others,74,Others,37.0,12.95,26,0
EPX,Travel Agency,Online,Others,31,SINGAPORE,10.0,0.0,36,0
Others,Airlines,Online,Others,11,SINGAPORE,7.21,2.02,48,0
EPX,Travel Agency,Online,Others,7,Others,36.0,0.0,36,0
EPX,Travel Agency,Online,Others,3,SINGAPORE,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,Others,59.4,35.64,45,0
EPX,Travel Agency,Online,Others,4,Others,10.0,0.0,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,110,Others,35.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,Others,25.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,30,Others,9.9,5.94,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,Others,20.0,0.0,43,0
Others,Airlines,Online,Others,3,Others,15.0,6.0,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,Others,20.0,0.0,60,0
EPX,Travel Agency,Online,Others,22,Others,21.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,49,Others,89.1,53.46,27,0
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,46.8,11.7,33,0
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,33.5,8.38,29,0
EPX,Travel Agency,Online,Others,25,Others,80.0,0.0,32,0
Others,Airlines,Online,Others,52,SINGAPORE,2.76,0.77,48,0
Others,Airlines,Online,Others,17,Others,22.0,7.7,30,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,67.0,16.75,49,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,SINGAPORE,89.0,0.0,36,0
EPX,Travel Agency,Online,Others,11,Others,10.0,0.0,36,0
C2B,Airlines,Online,Others,367,SINGAPORE,399.6,99.9,61,1
Others,Airlines,Online,Others,13,Others,15.0,6.0,68,0
EPX,Travel Agency,Online,Others,139,Others,10.0,0.0,38,0
EPX,Travel Agency,Online,Others,4,Others,30.0,0.0,31,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,275,Others,79.2,47.52,31,0
EPX,Travel Agency,Online,Others,85,Others,10.0,0.0,29,0
EPX,Travel Agency,Online,Others,14,Others,45.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,51.0,12.75,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,27,Others,43.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,Others,0.0,23.76,36,0
EPX,Travel Agency,Online,Others,34,Others,12.0,0.0,36,0
Others,Airlines,Online,Others,50,Others,18.0,6.3,41,0
Others,Airlines,Online,Others,83,Others,35.0,12.25,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,Others,21.0,0.0,36,0
C2B,Airlines,Online,Annual Silver Plan,426,SINGAPORE,252.85,63.21,50,0
EPX,Travel Agency,Online,Others,26,Others,14.0,0.0,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,112,Others,33.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,42.0,10.5,22,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,Others,19.8,11.88,28,0
EPX,Travel Agency,Online,Others,39,Others,80.0,0.0,43,0
EPX,Travel Agency,Online,Others,43,Others,24.0,0.0,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,Others,82.0,0.0,36,0
Others,Airlines,Online,Others,58,SINGAPORE,7.01,1.96,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,2,Others,20.0,0.0,51,0
EPX,Travel Agency,Online,Others,2,SINGAPORE,20.0,0.0,35,0
Others,Airlines,Online,Others,9,Others,23.0,9.2,58,0
EPX,Travel Agency,Online,Others,5,Others,11.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,71,Others,30.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,17,Others,112.0,0.0,36,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,29,0
EPX,Travel Agency,Online,Others,35,Others,12.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,73,Others,0.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,Others,19.8,11.88,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,63,Others,90.0,0.0,69,1
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,8,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,Others,26.0,0.0,36,0
EPX,Travel Agency,Online,Others,2,SINGAPORE,14.0,0.0,36,0
EPX,Travel Agency,Online,Others,70,SINGAPORE,10.0,0.0,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,23,Others,24.0,0.0,36,0
Others,Airlines,Online,Others,54,Others,30.0,10.5,66,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,44,Others,39.6,23.76,53,0
EPX,Travel Agency,Online,Others,3,SINGAPORE,10.0,0.0,33,0
Others,Airlines,Online,Others,108,Others,22.0,7.7,27,0
EPX,Travel Agency,Online,Others,9,Others,0.0,0.0,36,0
EPX,Travel Agency,Online,Others,49,Others,23.0,0.0,36,0
Others,Airlines,Online,Others,9,Others,22.0,7.7,37,0
EPX,Travel Agency,Online,Others,10,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,9,Others,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,Others,39.6,23.76,34,0
EPX,Travel Agency,Online,Others,13,Others,29.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,33,Others,29.7,17.82,42,0
EPX,Travel Agency,Online,Others,2,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,Others,28.0,0.0,69,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,63.0,0.0,36,0
EPX,Travel Agency,Online,Others,28,Others,0.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,Others,43.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,23.5,5.88,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,Others,3,Others,28.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,102,Others,43.0,0.0,47,0
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,209.3,52.33,38,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,30.55,7.64,44,0
EPX,Travel Agency,Online,Others,60,Others,10.0,0.0,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,65,Others,77.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,31,Others,10.0,0.0,62,0
Others,Airlines,Online,Others,12,Others,18.0,6.3,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,Others,44.0,0.0,36,0
Others,Airlines,Online,Others,97,Others,0.0,9.1,35,0
EPX,Travel Agency,Online,Others,17,Others,69.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,Others,27.0,0.0,36,0
EPX,Travel Agency,Online,Others,50,SINGAPORE,20.0,0.0,25,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,26.0,0.0,32,0
Others,Airlines,Offline,Others,1,SINGAPORE,0.07,0.02,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,317,Others,31.0,0.0,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,9.9,5.94,36,0
Others,Airlines,Online,Others,209,Others,37.0,12.95,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,Others,59.0,0.0,36,0
EPX,Travel Agency,Online,Others,14,Others,17.0,0.0,36,0
EPX,Travel Agency,Online,Others,20,SINGAPORE,14.0,0.0,36,0
Others,Airlines,Online,Others,29,SINGAPORE,2.76,0.77,48,0
C2B,Airlines,Online,Bronze Plan,158,SINGAPORE,60.0,15.0,28,0
EPX,Travel Agency,Online,Others,15,Others,39.0,0.0,36,0
EPX,Travel Agency,Online,Others,69,Others,17.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,13.5,3.38,36,0
Others,Airlines,Online,Others,19,Others,18.0,6.3,38,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,Others,79.2,47.52,58,1
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,20.0,5.0,73,0
EPX,Travel Agency,Online,Others,2,Others,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,Others,49.5,29.7,50,0
EPX,Travel Agency,Online,Others,10,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,Others,29.0,0.0,36,0
EPX,Travel Agency,Online,Others,3,Others,44.0,0.0,52,0
C2B,Airlines,Online,Silver Plan,76,SINGAPORE,93.6,23.4,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,Others,62.0,0.0,64,0
Others,Airlines,Online,Others,6,Others,15.0,6.0,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,Others,69.3,41.58,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,Others,41.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,41,Others,78.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,112.0,0.0,59,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,Others,19.8,11.88,50,0
C2B,Airlines,Online,Silver Plan,46,SINGAPORE,27.75,6.94,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,Others,0.0,11.88,55,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Others,79.2,47.52,45,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,127,Others,112.0,0.0,38,0
EPX,Travel Agency,Online,Others,59,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,6,Others,22.0,7.7,118,0
EPX,Travel Agency,Online,Others,3,Others,13.0,0.0,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,79,Others,56.0,0.0,36,0
EPX,Travel Agency,Online,Others,9,Others,10.0,0.0,27,0
Others,Airlines,Online,Others,24,Others,22.0,7.7,63,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,71,Others,55.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,6,SINGAPORE,35.0,0.0,36,0
EPX,Travel Agency,Online,Others,10,Others,46.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,123,Others,38.0,0.0,36,0
EPX,Travel Agency,Online,Others,86,Others,13.0,0.0,28,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,174,Others,43.0,0.0,36,0
C2B,Airlines,Online,Others,9,SINGAPORE,57.5,14.38,56,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,Others,39.6,23.76,41,0
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,15.0,3.75,26,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,18.5,4.63,28,0
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,0.0,11.75,37,0
EPX,Travel Agency,Online,Others,10,Others,37.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,27.0,6.75,69,0
Others,Travel Agency,Offline,Others,178,Others,29.0,9.57,66,0
Others,Airlines,Online,Others,123,Others,37.0,12.95,44,0
Others,Airlines,Online,Others,10,Others,22.0,7.7,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,33,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,74,Others,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,Others,59.4,35.64,54,0
Others,Airlines,Online,Others,13,Others,33.0,11.55,45,0
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,18.0,4.5,38,0
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,60.0,15.0,30,0
Others,Airlines,Online,Others,161,Others,125.0,43.75,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,2,Others,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,5,Others,27.0,0.0,36,0
Others,Airlines,Online,Others,17,Others,35.0,12.25,58,0
EPX,Travel Agency,Online,Others,9,Others,13.0,0.0,43,0
Others,Airlines,Online,Others,9,Others,35.0,12.25,47,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,Others,20.0,0.0,28,0
EPX,Travel Agency,Online,Others,28,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,118,Others,34.0,0.0,58,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,92,Others,69.3,41.58,59,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,38,Others,20.0,0.0,28,0
C2B,Airlines,Online,Silver Plan,69,SINGAPORE,63.5,15.88,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,48,Others,59.0,0.0,36,0
Others,Airlines,Online,Others,22,Others,31.0,12.4,118,0
EPX,Travel Agency,Online,Others,7,Others,23.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,Others,9.9,5.94,34,0
EPX,Travel Agency,Online,Others,48,Others,24.0,0.0,35,0
EPX,Travel Agency,Online,Others,1,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,Others,5,SINGAPORE,21.0,0.0,36,0
EPX,Travel Agency,Online,Others,6,Others,11.0,0.0,43,0
Others,Airlines,Online,Others,27,Others,35.0,12.25,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,90,Others,23.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,Others,29.7,17.82,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Others,29.7,17.82,46,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,Others,19.8,11.88,31,0
EPX,Travel Agency,Online,Others,20,Others,26.0,0.0,51,0
EPX,Travel Agency,Online,Others,25,SINGAPORE,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,50,Others,39.6,23.76,57,0
EPX,Travel Agency,Online,Others,9,Others,20.0,0.0,36,0
Others,Airlines,Online,Others,24,Others,26.0,9.1,52,0
Others,Airlines,Online,Others,15,Others,22.0,7.7,36,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,29.0,7.25,33,0
EPX,Travel Agency,Online,Others,5,Others,34.0,0.0,36,0
EPX,Travel Agency,Online,Others,42,Others,17.0,0.0,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,19,Others,25.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,39.6,23.76,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,26,Others,29.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,Others,0.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,32.0,8.0,41,0
Others,Airlines,Online,Others,4,SINGAPORE,1.8,0.5,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,28,Others,70.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,14,Others,73.0,0.0,34,0
Others,Airlines,Online,Others,2,Others,18.0,6.3,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,20.0,0.0,66,0
EPX,Travel Agency,Online,Others,13,Others,24.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,Others,0.0,11.88,40,0
EPX,Travel Agency,Online,Others,64,Others,10.0,0.0,20,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,68,Others,151.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,47.0,11.75,26,0
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,15.0,3.75,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,37,Others,128.7,77.22,46,0
EPX,Travel Agency,Online,Others,12,Others,10.0,0.0,46,0
Others,Airlines,Online,Others,8,Others,26.0,9.1,44,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,Others,0.0,0.0,56,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,Others,20.0,0.0,40,0
EPX,Travel Agency,Online,Others,4,Others,50.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,18.5,4.63,34,0
EPX,Travel Agency,Online,Others,3,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,Others,113,Others,15.0,0.0,36,0
EPX,Travel Agency,Online,Others,4,SINGAPORE,10.0,0.0,36,0
Others,Airlines,Online,Others,129,SINGAPORE,13.12,3.68,48,0
EPX,Travel Agency,Online,Others,47,Others,12.0,0.0,36,0
EPX,Travel Agency,Online,Others,22,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,13,SINGAPORE,33.0,0.0,36,0
EPX,Travel Agency,Online,Others,85,Others,72.0,0.0,36,0
Others,Airlines,Online,Others,2,Others,15.0,6.0,60,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,132,Others,57.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,27.0,6.75,27,0
EPX,Travel Agency,Online,Others,87,Others,67.0,0.0,48,0
Others,Airlines,Online,Others,38,Others,30.0,10.5,45,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,57,0
EPX,Travel Agency,Online,Others,43,Others,19.0,0.0,36,0
EPX,Travel Agency,Online,Others,48,SINGAPORE,20.0,0.0,35,0
EPX,Travel Agency,Online,Others,22,Others,80.0,0.0,36,0
Others,Airlines,Online,Others,33,Others,42.0,14.7,35,0
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,216.0,54.0,51,1
EPX,Travel Agency,Online,Others,76,Others,35.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,59.0,14.75,63,0
EPX,Travel Agency,Online,Others,20,Others,15.0,0.0,36,0
EPX,Travel Agency,Online,Others,33,Others,11.0,0.0,36,0
EPX,Travel Agency,Online,Others,2,Others,10.0,0.0,55,0
EPX,Travel Agency,Online,Others,11,Others,20.0,0.0,27,0
EPX,Travel Agency,Online,Others,26,Others,53.0,0.0,36,0
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,187.85,46.96,32,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,106,Others,23.0,0.0,35,0
C2B,Airlines,Online,Annual Silver Plan,383,SINGAPORE,216.0,54.0,56,0
EPX,Travel Agency,Online,Others,14,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,99,Others,37.0,12.95,42,0
EPX,Travel Agency,Online,Others,36,SINGAPORE,42.0,0.0,36,0
EPX,Travel Agency,Online,Others,37,Others,10.0,0.0,35,0
EPX,Travel Agency,Online,Others,27,Others,17.0,0.0,34,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,19,0
C2B,Airlines,Online,Bronze Plan,92,SINGAPORE,13.5,3.38,34,0
EPX,Travel Agency,Online,Others,32,Others,26.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,18,Others,37.0,0.0,36,0
EPX,Travel Agency,Online,Others,10,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,1,SINGAPORE,11.0,0.0,64,0
EPX,Travel Agency,Online,Others,5,Others,80.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,44,Others,54.0,0.0,36,0
EPX,Travel Agency,Online,Others,12,Others,42.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,Others,69.3,41.58,52,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,43,Others,69.3,41.58,37,0
Others,Airlines,Online,Others,36,Others,31.0,12.4,40,0
Others,Airlines,Online,Others,47,SINGAPORE,16.2,4.54,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,Others,29.7,17.82,28,0
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,39.0,9.75,33,0
EPX,Travel Agency,Online,Others,28,Others,44.0,0.0,36,0
EPX,Travel Agency,Online,Others,23,Others,34.0,0.0,36,0
EPX,Travel Agency,Online,Others,2,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,18,Others,20.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,18.5,4.63,30,0
C2B,Airlines,Online,Annual Silver Plan,369,SINGAPORE,187.85,46.96,41,0
EPX,Travel Agency,Online,Others,3,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,Others,7,Others,10.0,0.0,35,0
EPX,Travel Agency,Online,Others,50,Others,29.0,0.0,36,0
Others,Airlines,Online,Others,1,Others,15.0,6.0,44,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,27,Others,20.0,0.0,22,0
EPX,Travel Agency,Online,Others,54,Others,22.0,0.0,26,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,Others,79.2,47.52,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,Others,19.8,11.88,28,0
Others,Airlines,Online,Others,1,Others,31.0,12.4,118,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,24,Others,96.0,0.0,36,0
Others,Travel Agency,Offline,Others,71,Others,30.0,10.5,21,0
EPX,Travel Agency,Online,Others,1,Others,10.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,32.4,8.1,36,0
EPX,Travel Agency,Online,Others,54,Others,28.0,0.0,36,0
EPX,Travel Agency,Online,Others,17,Others,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,66,Others,49.5,29.7,57,0
EPX,Travel Agency,Online,Others,101,Others,53.0,0.0,36,0
EPX,Travel Agency,Online,Others,29,Others,33.0,0.0,36,0
Others,Airlines,Online,Others,46,SINGAPORE,0.96,0.27,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,132,SINGAPORE,0.0,17.82,31,0
EPX,Travel Agency,Online,Others,1,Others,20.0,0.0,43,0
EPX,Travel Agency,Online,Others,34,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,Others,54.0,0.0,54,0
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,23.0,5.75,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,Others,29.7,17.82,28,0
Others,Airlines,Online,Others,8,Others,22.0,7.7,49,0
EPX,Travel Agency,Online,Others,34,Others,21.0,0.0,35,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,98,Others,33.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,Others,78.0,0.0,36,0
Others,Airlines,Online,Others,37,Others,18.0,6.3,69,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,34,Others,128.7,77.22,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,Others,39.6,23.76,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,46,Others,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Others,99.0,59.4,57,0
Others,Airlines,Online,Others,154,Others,60.0,24.0,118,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,25,Others,19.8,11.88,58,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,99,Others,39.6,23.76,62,0
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,18.0,4.5,41,0
Others,Airlines,Online,Others,107,Others,35.0,12.25,27,0
EPX,Travel Agency,Online,Others,22,Others,51.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,24,Others,20.0,0.0,50,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,Others,39.6,23.76,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,Others,79.2,47.52,58,0
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,29.5,7.38,60,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,216.0,54.0,28,0
Others,Airlines,Online,Others,8,Others,22.0,7.7,37,0
EPX,Travel Agency,Online,Others,5,Others,24.0,0.0,36,0
Others,Airlines,Online,Others,6,Others,22.0,7.7,39,0
EPX,Travel Agency,Online,Others,8,Others,80.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,100,SINGAPORE,59.15,14.79,32,0
C2B,Airlines,Online,Others,49,SINGAPORE,91.0,22.75,31,0
EPX,Travel Agency,Online,Others,2,Others,10.0,0.0,61,0
EPX,Travel Agency,Online,Others,23,Others,41.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,53,Others,20.0,0.0,36,0
Others,Airlines,Online,Others,53,Others,55.0,19.25,64,0
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,23.4,5.85,33,0
EPX,Travel Agency,Online,Others,55,Others,45.0,0.0,36,0
EPX,Travel Agency,Online,Others,3,Others,20.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,67,Others,22.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,Others,20.0,0.0,63,0
EPX,Travel Agency,Online,Others,46,Others,10.0,0.0,36,0
Others,Airlines,Online,Others,26,Others,30.0,10.5,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,10,Others,39.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Others,39.6,23.76,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,80,Others,31.0,0.0,36,0
EPX,Travel Agency,Online,Others,11,Others,10.0,0.0,47,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,44,0
Others,Travel Agency,Online,Others,411,Others,256.2,166.53,35,0
EPX,Travel Agency,Online,Others,3,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,46,Others,20.0,0.0,64,0
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,389.0,97.25,30,0
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,23.0,5.75,37,0
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,97.8,24.45,34,0
EPX,Travel Agency,Online,Others,217,Others,66.0,0.0,36,1
EPX,Travel Agency,Online,Others,4,Others,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Others,29.7,17.82,32,0
EPX,Travel Agency,Online,Others,14,Others,11.0,0.0,36,0
EPX,Travel Agency,Online,Others,6,Others,10.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,29,Others,38.0,0.0,36,0
